"Figure 3. Rate of Temperature Change in the United States, 1901-2021",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: NOAA, 2022",
Web update: July 2022,
Units: °F per century,
,
Climate Division,Temperature Change
101,0.169506164
102,0.229451745
103,-0.206859956
104,0.277881272
105,0.220086483
106,0.01919907
107,-0.033588493
108,0.487846046
201,2.349692905
202,1.814010071
203,2.576756763
204,2.356117057
205,3.009376552
206,2.93468026
207,1.87341372
301,0.539137651
302,0.79836743
303,0.720809059
304,0.414222328
305,0.224286456
306,0.409203812
307,0.215000226
308,-0.070660028
309,0.517528113
401,1.977566274
402,1.735565416
403,2.017545048
404,2.705290611
405,2.038155399
406,3.468607461
407,2.888187012
501,1.528152238
502,2.801206928
503,2.405573996
504,2.271671634
505,1.60939123
601,2.737744434
602,2.860909768
603,3.165317482
701,2.673435171
702,2.789532809
801,0.530054645
802,1.349591293
803,2.125191934
804,2.272100664
805,2.465660705
806,2.820535835
807,2.837409113
901,0.226691279
902,0.349359843
903,0.555090774
904,0.603147722
905,0.843398591
906,1.027113535
907,0.756108025
908,0.815601996
909,1.111750892
1001,1.637165244
1002,1.851228379
1003,1.918331979
1004,1.887199115
1005,1.404986903
1006,1.391003929
1007,1.989144425
1008,1.93468026
1009,1.530878833
1010,1.599077587
1101,1.5485763
1102,1.725629996
1103,0.795776318
1104,1.642674886
1105,1.727250147
1106,1.129979
1107,1.206487378
1108,1.096362282
1109,0.711381701
1201,1.827484984
1202,1.796188412
1203,1.892974078
1204,1.16409249
1205,0.912404597
1206,1.244659712
1207,1.016184573
1208,0.815624577
1209,1.062186696
1301,1.397428081
1302,1.211048638
1303,1.063643138
1304,1.177550467
1305,0.827055954
1306,1.108996071
1307,0.83543332
1308,0.571822924
1309,0.693452784
1401,1.840350224
1402,1.246217766
1403,1.146886149
1404,1.839955065
1405,1.518166012
1406,1.149358714
1407,1.423333559
1408,1.133693492
1409,0.610616222
1501,0.368197625
1502,0.779066748
1503,1.047368243
1504,0.372758885
1601,0.456752698
1602,0.663798943
1603,0.735300095
1604,0.47830014
1605,0.192408436
1606,0.399691776
1607,0.054526261
1608,0.503646751
1609,0.785073161
1701,2.714853453
1702,2.906477216
1703,3.014434584
1801,2.526306282
1802,2.401114348
1803,2.140258773
1804,2.395870027
1805,2.291796505
1806,2.489217811
1807,1.753516913
1808,1.152136115
1901,2.572935013
1902,2.739443616
1903,3.122877433
2001,2.568125367
2002,2.512616854
2003,3.171007768
