,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",63997.98901928767,881656.9762142466,30744.044028958902,422473.334730411,307.8218726737863,438627.6644936986,20255.018709972603,0,0
1,"(0, 15)",59402.75389920548,819952.9292410958,26555.633909123288,365216.57501123287,314.0070019391452,434074.9915547945,20347.498776572604,0,15
2,"(0, 30)",59018.90979969863,814257.2197542466,26200.519922328767,358862.62869863014,341.37232036035067,434680.6544084932,20372.66836848219,0,30
3,"(0, 45)",58157.58865284932,799892.5970673972,25294.27528487671,346522.4680712329,340.40452085987124,432570.7538868493,20459.161415213697,0,45
4,"(1, 0)",57051.3247998904,788838.2147684932,24723.208296082197,339327.4793531507,335.6139327448767,428743.9375780821,20430.95641689589,1,0
5,"(1, 15)",53771.44799564384,733738.2393383562,21440.488897945208,293697.25847342465,420.4085671851672,419861.55284246575,19759.49350322192,1,15
6,"(1, 30)",52791.81676150685,720945.622639452,21048.770672164384,286927.8345821918,370.7317568143781,414177.5275164384,19470.756216854792,1,30
7,"(1, 45)",51452.81501304109,704423.9107520548,20320.220346136983,277618.21556054795,404.9263024997808,407185.60885945207,19216.292020030138,1,45
8,"(2, 0)",50218.43340328767,690816.7078317808,19852.297188547946,271787.00821315066,385.5018781654,399562.9907306849,19082.062622257534,2,0
9,"(2, 15)",46825.00579742466,642421.5596934246,18164.206204246577,246071.88667534248,410.3211334468165,377809.5246246575,18131.74241482192,2,15
10,"(2, 30)",46191.46223383561,633707.4762317808,17878.325102383562,242427.9615378082,391.9257494615178,373046.8522175342,17843.35488197534,2,30
11,"(2, 45)",45592.76372819178,624592.6001087672,17634.66899619178,238521.093400274,383.6562934387397,367962.8713419178,17727.424049383564,2,45
12,"(3, 0)",45169.68506054795,620137.7491723287,17450.463018849317,236116.3801909589,391.10006755747673,365760.9548326028,17871.83400568219,3,0
13,"(3, 15)",42438.29122712329,584832.9728027397,16704.073939342466,226874.6354706849,402.2764215525123,340899.38135958905,16661.614526482193,3,15
14,"(3, 30)",42273.459884,584341.1381827397,16589.652109917806,225593.9421860274,400.4566940790576,341688.32400895894,16663.963647115066,3,30
15,"(3, 45)",42490.92295624658,585438.5833706849,16546.43935268493,224673.97568575345,398.7575040962767,343492.4943743562,16879.08867948219,3,45
16,"(4, 0)",42727.69924638356,589611.6378175343,16523.74603783562,224325.6645860274,420.0498709168,347692.0151753425,17179.35265629589,4,0
17,"(4, 15)",41366.56992263014,579779.5892090411,16063.824481753423,221327.53868246576,410.8501375580658,341227.16988,16812.52942549315,4,15
18,"(4, 30)",41624.93273038357,581450.6787794521,15984.591254054792,220265.34110630135,417.97079338243833,343705.5805689041,17060.20425030137,4,30
19,"(4, 45)",42309.66740649315,592778.5050764383,16043.429089863012,221490.0755939726,434.312373827726,353250.00550873973,17602.29620519452,4,45
20,"(5, 0)",43033.38468887672,601259.9241432877,16071.637020958904,222016.87970438355,445.0295188351891,360778.173362,18018.17042364109,5,0
21,"(5, 15)",45006.82372928767,629544.2362358904,16145.509534246576,226785.2446789041,402.2427877086521,384025.6800455069,18327.49765393425,5,15
22,"(5, 30)",44542.249637534245,625586.135729589,16069.36496978082,224431.1766558904,422.36244123824656,382227.98333558906,18500.99739287671,5,30
23,"(5, 45)",46419.83336561644,649859.3502745206,16253.749394136988,227851.88021808217,451.0359804202768,402244.4112699178,19308.632885432875,5,45
24,"(6, 0)",47174.33359369863,660904.6065235616,16312.225692712327,228663.71697753423,447.40916245973966,411814.480940274,19975.443829158903,6,0
25,"(6, 15)",49505.32419767124,705735.9000457535,17109.612206739726,238398.190349863,388.561003361474,444763.9550813425,22184.495972542463,6,15
26,"(6, 30)",49743.05059649314,706522.9664090411,17016.92180172603,236968.5334221918,413.1257689691205,446988.1473192055,22152.873542145207,6,30
27,"(6, 45)",51792.46928473973,735243.8268323288,17290.038950356164,241048.211460548,443.2547012969836,470454.0310192877,23297.876982150687,6,45
28,"(7, 0)",52832.52227638356,750084.2439210959,17417.253257589044,242553.7310189041,446.97172797780274,483119.1540450959,23963.970728150685,7,0
29,"(7, 15)",56832.31398868493,832121.1356126028,18361.59870265753,259571.2372506849,758.6478845422959,544387.6010290411,27407.21900971781,7,15
30,"(7, 30)",57842.133063808215,839441.2112104109,18401.91517471233,259671.31829424656,707.0656095065206,550889.4713789041,28176.87099638082,7,30
31,"(7, 45)",60586.37152769863,880077.3672257535,18776.61324884932,265587.0134435617,805.1242297727534,584085.5996509589,29603.56824983014,7,45
32,"(8, 0)",62477.04193575343,905999.6683915068,18917.5971820274,268849.5928479452,804.7085698045041,605659.6740589042,30689.572081841092,8,0
33,"(8, 15)",69515.95817408219,1005960.5059649316,19968.546609698627,296192.8935323288,1125.2940031983946,674569.9618013699,34069.45826931507,8,15
34,"(8, 30)",69717.5151550411,1016950.880700822,19763.689178641096,297521.7330786301,1185.0008948007398,683356.930219726,34884.60052648494,8,30
35,"(8, 45)",71797.14462517809,1056665.8284641097,19438.41369320548,307024.4612019178,1238.6299744092191,712506.502530137,35893.39153299178,8,45
36,"(9, 0)",71878.89782608219,1075458.5157150684,18563.86699030137,310292.0013071233,1184.4611978485425,727308.5377320547,36670.425858989045,9,0
37,"(9, 15)",76814.34908027397,1158575.0157520548,18992.7619455137,342593.603159726,1045.8319868262738,777206.2890780821,37730.881766131504,9,15
38,"(9, 30)",74650.42073457534,1149484.2516038355,17123.791133667946,341390.9012706849,1037.5353126820548,769912.3121726027,37145.195479449314,9,30
39,"(9, 45)",73436.18171821917,1167540.8079578085,15211.07355004,349294.57031150686,1022.5943002364904,779846.4171632876,37378.61071676164,9,45
