,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",106.65955439558904,94980.97582586302,67.32701573580822,27546.059207342467,27.44425104776712,53566.20412306027,13841.16816790959,0,0
1,"(0, 15)",98.93679428860274,91710.24567989042,58.73899356969864,25105.92521838356,29.921296751076717,52536.960428208215,14036.604565834246,0,15
2,"(0, 30)",92.53703050035617,92760.71019468491,52.32948714539727,24919.831282547944,23.42335321751233,53550.459786386295,14266.21159654411,0,30
3,"(0, 45)",105.38030153057534,92712.57684731504,63.85956696186301,24444.61500624657,22.419003630326028,53873.41883576986,14371.450558116438,0,45
4,"(1, 0)",105.43882054473973,93184.83034495891,62.43265241509589,24155.12648454794,23.208913111534244,54511.085365868494,14494.677992316438,1,0
5,"(1, 15)",108.29089341569863,89758.89669446576,56.9797293330137,22698.694512246573,18.549749758,53076.65835291507,13966.154088817808,1,15
6,"(1, 30)",111.758290801863,90839.53077550684,59.91249976564384,22584.788786487672,18.410937214515062,53955.4842684548,14282.030394182466,1,30
7,"(1, 45)",103.96204170441096,91123.5404630959,51.95468160610959,22347.10436066301,17.087940903369862,54398.918413701365,14361.531682275345,1,45
8,"(2, 0)",96.11796643843836,91826.46891372604,43.21209361378082,22283.691243367124,18.08762452306849,55072.09004507123,14453.717987724383,2,0
9,"(2, 15)",106.9770346241096,89017.72208252056,42.826010739068494,21741.34563651507,14.636752437410957,53487.67666070685,13775.837229282191,2,15
10,"(2, 30)",108.23762361758904,90508.44438536986,43.6306817490137,21766.64467891233,17.53879005039452,54533.69275802192,14192.224704386575,2,30
11,"(2, 45)",105.675423999863,91034.91040320547,40.467721011835614,21742.78714509863,15.793912474378082,55015.19187129589,14262.7928027137,2,45
12,"(3, 0)",109.43386113268494,92260.284168,43.42569960290411,21845.179375265758,13.180192794715069,55904.121356167125,14499.48180075315,3,0
13,"(3, 15)",91.20878497301368,90674.88490243837,45.240023766657536,21297.186477243835,13.974184998364384,55285.8376452137,14077.182738862191,3,15
14,"(3, 30)",85.64364619076713,92381.44846531506,39.04943031249315,21441.8043657863,15.387584437917807,56412.57440305205,14510.954249143835,3,30
15,"(3, 45)",82.84017714887672,93325.01060328768,35.843350355369864,21541.85555337808,12.513542632926027,57125.95540016712,14643.96660709315,3,45
16,"(4, 0)",85.59601443375342,94525.7886879452,38.13331269983562,21669.233713991784,14.807643510553424,57964.24435829589,14876.832816384933,4,0
17,"(4, 15)",83.86163528758904,94956.12721471234,36.02644120279452,21732.701891131503,14.18901393621096,58643.96856252055,14564.4847601063,4,15
18,"(4, 30)",84.98866094830137,96372.66976758905,36.81054766117808,21670.527290753427,12.648466870120547,59788.77117266575,14900.059421051232,4,30
19,"(4, 45)",87.93249785523288,97640.52153063014,39.41826549956165,22028.482502567123,12.74061973640548,60533.11767012603,15065.579188384385,4,45
20,"(5, 0)",85.7715714759726,98812.62024764383,36.890152377424656,22161.233981336987,13.878727070931506,61308.97889545754,15327.913123409588,5,0
21,"(5, 15)",88.26728104975342,101649.10820315068,38.97579595038357,22903.524081471234,13.961936831449314,63941.674093013695,14789.836233881371,5,15
22,"(5, 30)",89.77283335695891,103268.46113372604,40.203035329534245,23085.36845220822,14.03659231929041,64986.2007744,15182.739697965751,5,30
23,"(5, 45)",90.71322029936988,104676.17645271232,40.61830660073973,23380.56861265205,13.60557353388493,65867.03908167945,15414.908150572875,5,45
24,"(6, 0)",91.82177650665751,106078.17265712329,41.48002765638356,23643.507634745205,17.73203888718904,66739.18935847124,15677.701100129863,6,0
25,"(6, 15)",92.87589641753424,110398.55816153424,42.53611689635616,24058.066443928765,16.173022364528766,69444.5154003452,16880.23611908493,6,15
26,"(6, 30)",99.89117913843836,111424.50126380824,49.12009032498631,24369.19683461096,16.154552908553423,70208.74592122191,16830.80407753452,6,30
