,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",89589.44916032258,1241496.3332475806,33841.54253266129,460582.31146532256,576.0181572877419,743642.4941266129,36697.86438370968,1,0
1,"(1, 1)",88633.52036612903,1216160.6533983871,28840.634986774192,394019.8770701613,838.822135212258,783122.2745040322,38183.31718596774,1,1
2,"(1, 2)",82283.88371217743,1126287.0025637096,23463.27815330645,318849.9975983871,936.8218146701612,768388.726848387,38113.29869362903,1,2
3,"(1, 3)",75103.28106064517,1033209.5174120968,20656.153737016128,280505.314208871,979.7930663338708,715894.977392742,35829.315063225804,1,3
4,"(1, 4)",70572.66363516128,989740.935433871,19469.108399838708,268007.5071903226,1034.496444279839,685315.6294564516,35386.99427282258,1,4
5,"(1, 5)",75402.78706395162,1052734.1813798386,19381.1152558871,274311.7688830645,1058.3160770919355,741078.3844596774,36276.60087491936,1,5
6,"(1, 6)",81069.94485,1148548.3650362904,20528.197260403223,287627.4143967742,948.814896491129,819254.2985709677,40709.93052741936,1,6
7,"(1, 7)",89354.30933250001,1296379.7372774193,22029.70634483871,309712.744483871,1185.7218981709675,938555.479716129,46920.54711943548,1,7
8,"(1, 8)",101723.13623548388,1498334.942398387,23540.14303443548,344434.7105274194,2123.7082841846773,1094242.866467742,57530.00316741936,1,8
9,"(1, 9)",120885.1555346774,1742849.4556862905,26466.18306814516,399514.0640669355,2265.60343288629,1277430.5146241935,63633.79966798387,1,9
10,"(1, 10)",131535.14324,1910786.1179516127,29455.409533387094,457059.31890161295,1689.378685798387,1384094.2495290325,67941.41856645161,1,10
11,"(1, 11)",119237.01926701612,1899424.071879032,19372.27747392984,488264.27535161295,1475.5599546814517,1343340.9614080645,66342.54452709678,1,11
12,"(1, 12)",92850.62374508064,1732639.3274193548,4270.236208906452,489747.7652056452,1317.66182185,1182214.8073346773,59353.77853540323,1,12
13,"(1, 13)",63217.42392583533,1504948.163580645,-12093.653254124629,464290.840825,1090.8925995693548,990431.0306233872,49133.51364491935,1,13
14,"(1, 14)",36468.04037907903,1278927.4592282258,-24276.77391798387,429843.4904032258,921.9902690879032,806976.8084032258,41188.73587766129,1,14
15,"(1, 15)",22204.95722198871,1131078.4130185484,-28446.283626273387,411564.8054596774,918.5354694631452,684882.502192742,33709.042693467745,1,15
16,"(1, 16)",13480.689797295969,965246.9665669356,-27410.372952341128,381680.1015483871,855.9627940217741,556096.1730725806,26609.833563387096,1,16
17,"(1, 17)",13404.549150354193,859608.7029225806,-20630.94477431371,364588.9501080645,647.7065363423307,470158.9901596774,24211.52794185484,1,17
18,"(1, 18)",24363.637554815323,847395.9732104839,-8249.620350151612,372663.685475,766.5757920166935,450844.06521774194,23115.7847741129,1,18
19,"(1, 19)",46045.43614,916348.3392903224,10636.852489712095,404445.45853629033,780.1489138276452,487163.2207241936,23960.25064556452,1,19
20,"(1, 20)",71413.11788612902,1039324.4240064516,30455.99446370968,452049.7629846775,842.9928457343549,558719.5448354839,27713.45690233871,1,20
21,"(1, 21)",80974.08832717742,1133485.369039516,35685.89546258065,492058.02507016127,869.8735557290322,609935.5357854839,30619.08756774193,1,21
22,"(1, 22)",85512.60252080644,1185543.967685484,36782.99498612903,510093.84479193547,861.4228309330645,642523.3343556451,32065.244815080645,1,22
23,"(1, 23)",88332.84979096774,1214120.6942225809,36290.77583306452,500320.2791870968,614.0501385741935,680208.5675217742,32986.77383322581,1,23
24,"(2, 0)",81823.12179794643,1124686.2244133928,33653.96889544643,459035.3183651786,471.2736926572321,634844.6548660714,30339.97333705357,2,0
25,"(2, 1)",81574.50721714286,1108955.470042857,28895.08273375,391904.3696964286,687.93718252875,683313.9364276786,33055.077372857144,2,1
26,"(2, 2)",76414.44043437499,1033508.9438571428,23107.59808678572,309662.6622776785,785.7881533235715,688757.8445125,34301.86372669643,2,2
27,"(2, 3)",72569.2299132143,986268.2311866072,20463.72632125,274473.4487258929,884.8752497285714,676476.8158785714,34432.31458125,2,3
28,"(2, 4)",71551.496183125,986110.5196696428,19687.85640526786,267329.87475267856,969.8466910669642,681891.3065955357,35923.86838419643,2,4
29,"(2, 5)",78426.56913098214,1080721.0811651784,19920.060045357142,277547.73214732145,1046.8970443312498,763566.7953303572,38551.91838214285,2,5
30,"(2, 6)",87004.88255678571,1208350.248330357,21246.289430625,293579.6264455357,987.96217252125,869725.4953758928,44049.799105267855,2,6
31,"(2, 7)",97433.34216419642,1386391.7135633926,23067.968590089287,319387.18853928574,1288.7918163464287,1013919.8922910716,51795.955409285714,2,7
32,"(2, 8)",111511.77476875,1613582.8718133927,24908.10375446429,357136.8381133928,2301.38589890625,1190372.2328392856,63771.27197875,2,8
33,"(2, 9)",131549.36063803572,1885829.0209964288,28040.0208425,415159.84714017855,2486.495555288393,1396440.3886589285,71734.15006330358,2,9
34,"(2, 10)",133315.41353473213,2014766.7592767857,24241.960263107143,467957.3857044643,1856.9844752660715,1470040.2349035714,74911.70891357143,2,10
35,"(2, 11)",100579.34147696428,1852802.719178572,1657.0776324225983,480237.36267232144,1510.7267389428573,1304203.7135919644,66850.65356169642,2,11
36,"(2, 12)",53837.79547266786,1533265.454941071,-23611.98941473393,464034.1239267857,1149.9636923383928,1015867.8273669642,52205.45196535714,2,12
37,"(2, 13)",14446.298147423213,1246268.221200893,-45117.15581241071,431401.8333294643,782.9262468578571,775738.6894982143,38342.93965339286,2,13
38,"(2, 14)",-13881.1999205125,1024579.2634723214,-59464.15119482143,399341.2032375,618.1293470590803,594916.4148151786,29704.908879017858,2,14
39,"(2, 15)",-26127.052503995536,908356.9370223216,-64100.763356875,388642.37420357147,608.7700195672589,495715.4307294643,23382.629291339286,2,15
40,"(2, 16)",-31946.310054375,788753.8721669642,-62535.19395142857,368868.51372946426,523.177664302125,401256.7650491072,18102.088727375,2,16
41,"(2, 17)",-25626.139040196427,725047.1644758928,-51607.71109151786,361829.69601428567,383.281948468125,346290.07386964286,16541.507033464284,2,17
42,"(2, 18)",-6865.308757925893,740000.5617830356,-32637.4121045,375375.0064214286,439.5437223338393,348082.2590080357,16093.445384785711,2,18
43,"(2, 19)",21379.54439611357,819708.1910901786,-7642.861093241072,407443.03448035714,497.5649635920536,393895.8890196429,17873.405484285715,2,19
44,"(2, 20)",55184.53820258928,935535.0884892856,20494.725576585715,445923.6537875001,530.8041349866965,468088.0638303571,20999.715488839287,2,20
45,"(2, 21)",74101.57206178572,1025716.511075,34827.58223785715,475823.4937535714,576.1422583191965,525057.9640919643,24261.01599053572,2,21
46,"(2, 22)",79159.88308571429,1085471.2516339286,36161.81707883928,495843.2144821429,639.2423223232144,562774.9926892857,26219.737217321428,2,22
47,"(2, 23)",82111.61236151785,1121135.2580142857,36189.87401008928,495336.4840035714,513.2195983125,597316.2003732143,27978.514013125,2,23
48,"(3, 0)",74542.16941669355,1017807.1206596774,28072.42162685484,387197.9646612904,560.367119707742,600010.2811387097,30041.88938854839,3,0
49,"(3, 1)",70298.62082685484,953159.6672540322,23019.13372217742,315849.2054717742,673.0941915144355,605884.4922717742,30754.40503445968,3,1
50,"(3, 2)",65174.90009564516,884397.9990419355,19984.560414274198,272038.69956451614,732.5760316934677,581954.9920370968,29673.691990193547,3,2
51,"(3, 3)",61935.54448806452,844812.178576613,18795.64832548387,255386.15282258065,783.7216012524999,559123.8748354838,29524.685230725805,3,3
52,"(3, 4)",63477.571421612905,872350.1703411291,18520.620690241936,256131.4164685484,839.2719401820161,584997.3199225806,30381.3381835,3,4
53,"(3, 5)",69023.91194475807,957124.9050330644,19103.695601129035,266943.1715096774,811.4275259254838,655783.0938137097,33584.378050387095,3,5
54,"(3, 6)",76925.26007209677,1088140.4732153225,20454.813989112903,285449.6783024193,904.9148491369356,762416.1492129032,39372.216332661286,3,6
55,"(3, 7)",87810.33038346775,1270136.7419887097,22055.858447258062,314856.84518709674,1559.5241174403225,905412.5640387096,48312.74436798387,3,7
56,"(3, 8)",104532.79076879034,1500271.8071201614,24356.724016774195,359529.94673629035,1987.3618743967745,1082291.1483935483,56464.46789233871,3,8
57,"(3, 9)",116431.6115558871,1688250.3746758064,26139.31205935484,409295.2802362904,1731.9997076274192,1215504.157360484,61720.04099096774,3,9
58,"(3, 10)",106700.1839298387,1704811.6406717745,16225.788868876532,439025.33272580645,1337.9425311969355,1203414.3818298385,61033.21058064516,3,10
59,"(3, 11)",80063.43817711936,1555754.3044435482,40.285523469354814,444218.912125,1126.1519282710483,1056687.1411096775,53718.97465629032,3,11
60,"(3, 12)",48055.44048606129,1358207.3508903226,-19526.29427748468,427612.4503387097,958.6482278640324,885088.9972911291,44545.91806290323,3,12
61,"(3, 13)",17870.934315828228,1158177.6783774197,-37591.03694609516,399530.1072008065,803.0695090281451,721214.8256266129,36631.04202435484,3,13
62,"(3, 14)",-3973.200364207257,1015386.2544153226,-50039.51562536935,382415.4280467742,714.6496449117742,602104.7669919354,30152.071571048386,3,14
63,"(3, 15)",-18240.391854265323,884818.8682443548,-55862.575119475805,362951.3751120967,668.3552159608065,496997.9507024194,24206.56578089516,3,15
64,"(3, 16)",-21965.017184400807,784614.963116129,-53045.38078673388,348565.5378516129,521.6449796751855,414983.98486774194,20550.6163955,3,16
65,"(3, 17)",-15804.742121301611,755300.5754080645,-44334.81328441129,352519.34202096774,493.1504656533306,383274.4035701613,19015.12880167742,3,17
66,"(3, 18)",1902.9656468379037,797947.292808871,-27985.408722910484,375904.4802024194,487.7631071735484,402264.51554838713,19293.657640725807,3,18
67,"(3, 19)",25794.09340396371,877676.8091564516,-7429.083259058065,409070.30732741934,514.5579765160484,446955.2130080645,21133.659178387097,3,19
68,"(3, 20)",49876.14161580645,935971.6781951612,13964.747993039597,434016.3860419355,570.1953006063709,478471.02050564514,22909.633328629032,3,20
69,"(3, 21)",68794.66250112903,972825.8818346774,30815.598071209675,450204.5625903226,617.9484481470968,498090.7501064516,23906.8297266129,3,21
70,"(3, 22)",73669.46083185484,1004943.39275,33240.54211580645,458586.5661193548,576.729490047,520781.0943701613,24986.7833675,3,22
71,"(3, 23)",74674.66959379033,1023449.4979879032,32187.30150080645,443089.1971612903,456.6269905545161,553081.4275008065,26815.60044282258,3,23
72,"(4, 0)",53467.96163333333,732066.208565,24453.698789583334,336083.5115308333,323.17625259158336,378438.8932825,17224.286786,4,0
73,"(4, 1)",44984.45564591666,615135.2861066667,18613.26672008333,255205.16731500003,275.0560123445,343548.9989058333,16103.496883183334,4,1
74,"(4, 2)",39293.64559408333,534913.1006791667,16170.83671475,220010.59531666667,252.2655134183333,300365.09556916665,14287.061595125,4,2
75,"(4, 3)",37254.23714766667,503674.6676333333,15392.942410666668,208753.7146875,257.64381097116666,280694.9660283333,13975.040505058334,4,3
76,"(4, 4)",38803.84028125,532220.5244608333,15039.342350666668,209280.50702833332,290.04250985375,307869.5598016667,14775.011263225,4,4
77,"(4, 5)",41896.63398491666,590800.3193066666,15370.559415916669,216122.9478525,234.591936853,356763.0171116667,17676.870377066665,4,5
78,"(4, 6)",48181.88931783333,691775.6199675,16456.492795333335,232107.10559416667,313.8601778625583,437196.5699275,22161.36642973333,4,6
79,"(4, 7)",58168.71787708333,849357.0855108333,18007.916993000003,259065.76471666663,880.21058084925,559490.1647900001,29927.07045683333,4,7
80,"(4, 8)",73727.14751524999,1053682.1582183333,20445.39743608333,302848.1991225,1078.4281954733333,714316.9100433333,35436.717920916664,4,8
81,"(4, 9)",72740.13559358333,1145282.6900458334,15330.377774716668,343320.8559316667,778.52912008,764605.242285,36579.89738933333,4,9
82,"(4, 10)",53665.77654133333,1090366.8410491666,1096.27842659475,364654.4504508333,580.8833376495,692457.3320541666,32669.90995775,4,10
83,"(4, 11)",25194.04797463417,985016.6001291666,-19578.840807873334,372947.1309375,484.34777518276667,583157.6071,28422.27365675,4,11
84,"(4, 12)",-3552.76321397,878403.3611141667,-41605.92680039167,365294.88496166666,353.3526708591667,489670.007765,23085.04098783333,4,12
85,"(4, 13)",-28331.05370890167,792997.4554308334,-60493.51988640417,355419.5958241666,302.1698464374584,417646.8172666666,19631.560140916667,4,13
86,"(4, 14)",-42829.77067984667,749431.8195075,-71703.41297405834,356070.92017583334,354.71158540614164,376382.7343525,16632.033626750002,4,14
87,"(4, 15)",-51042.430452025,685404.0641150001,-75653.15494225001,347335.8098291667,300.4803691281916,323509.7874608334,14264.614668916667,4,15
