,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",52368.351173145165,14788122.410129031,4160.744174701613,1957349.2348548388,2229567.186935484,8412958.169491936,2188242.239782258,1,0
1,"(1, 1)",52872.17792532258,14615879.480169354,3937.407605435484,1808506.3396693547,2240667.8889112906,8380459.478008064,2186243.246427419,1,1
2,"(1, 2)",52477.17364080645,14642351.05708871,3818.9762502177423,1749573.1702903225,2296195.310153226,8382175.388,2214395.0085,1,2
3,"(1, 3)",53751.41612274194,14945661.917991936,3876.062541806452,1751355.7934677422,2348692.8159112902,8572894.648330646,2272705.958306452,1,3
4,"(1, 4)",54816.43406467742,15357025.431758065,4001.4942170403215,1790614.954967742,2409434.265717742,8803475.639685486,2353493.9035,1,4
5,"(1, 5)",55466.38390225807,15924893.801298387,4204.235981475807,1877723.0825,2482005.166032258,9117636.316266129,2447529.4096612902,1,5
6,"(1, 6)",57050.229534516126,16611231.96591129,4741.052152709678,2043648.0746048384,2563348.100733871,9475787.302895162,2528439.61366129,1,6
7,"(1, 7)",59014.15004717742,17292208.238790322,5405.510421032258,2263313.6956370967,2614634.578266129,9827001.122395162,2587243.7047822583,1,7
8,"(1, 8)",57514.13924516129,17646490.303629033,3641.172027401048,2430916.845129032,2577991.810991936,10014671.787983872,2622900.966016129,1,8
9,"(1, 9)",51911.22344516129,17463807.464112904,513.7707662958064,2500102.075782258,2449223.4855403225,9933600.43035484,2580885.4886370967,1,9
10,"(1, 10)",45806.03174822581,16873653.004919354,-2283.303260645161,2498672.374137097,2297544.515556452,9598725.613201613,2478708.0236612903,1,10
11,"(1, 11)",42200.79815693548,16065912.19701613,-4106.684520739677,2428723.015072581,2151220.0916935485,9147993.656620968,2337961.0072419355,1,11
12,"(1, 12)",40211.6622433871,15249598.565975806,-4538.628673216976,2337925.349830645,2044216.5143072584,8654309.250709677,2213140.338838709,1,12
13,"(1, 13)",37384.58262919355,14500297.723040324,-3965.147227809274,2238970.7359274197,1922378.0040782257,8240316.799024194,2098634.4601290324,1,13
14,"(1, 14)",36580.32623048387,13704903.409879033,-2335.2598896465324,2126087.3031935487,1833504.0927169356,7757535.664596774,1987781.3141048388,1,14
15,"(1, 15)",38605.38988564516,13235306.496048387,384.2091951093549,2078258.1293467744,1820364.0208637095,7415692.121258064,1920997.4313782256,1,15
16,"(1, 16)",42796.52303620968,13361583.046491936,3828.585336590322,2154759.461830645,1885477.9122983871,7387848.010991936,1933499.7055846772,1,16
17,"(1, 17)",46909.20699854839,13921573.876024194,6387.652388782259,2354867.071258065,1967322.5117467744,7608228.547564516,1991151.553233871,1,17
18,"(1, 18)",48870.74285870968,14561929.055080645,7375.871063830646,2592737.603314516,2035601.156370161,7879276.010572581,2054313.233983871,1,18
19,"(1, 19)",49894.81939427419,14929235.532153226,7488.846660604839,2737691.64992742,2092042.518220161,8016847.374483871,2082652.498266129,1,19
20,"(1, 20)",50770.198768145165,15093991.369790323,7384.365175967742,2756165.6507016127,2135457.3445725804,8106018.477290323,2096353.383129032,1,20
21,"(1, 21)",53383.73033459677,15220365.683201613,6864.474743580646,2663969.7061451613,2177582.9480645163,8247842.956620968,2130971.524516129,1,21
22,"(1, 22)",54009.8714132258,15242300.279806452,5916.736859040323,2481488.8751774197,2209634.021717742,8381103.121040322,2170069.743790323,1,22
23,"(1, 23)",52505.123352903225,15055967.748459678,4841.977826298387,2217371.3705967744,2212266.556080645,8447854.266153226,2178472.770370968,1,23
